Category: All categories

Month,Government spending: (United States)
2004-01,23
2004-02,32
2004-03,30
2004-04,27
2004-05,24
2004-06,19
2004-07,19
2004-08,14
2004-09,19
2004-10,31
2004-11,35
2004-12,24
2005-01,23
2005-02,24
2005-03,23
2005-04,29
2005-05,20
2005-06,14
2005-07,11
2005-08,9
2005-09,19
2005-10,23
2005-11,28
2005-12,23
2006-01,12
2006-02,20
2006-03,22
2006-04,26
2006-05,19
2006-06,11
2006-07,10
2006-08,11
2006-09,13
2006-10,19
2006-11,21
2006-12,15
2007-01,12
2007-02,15
2007-03,18
2007-04,18
2007-05,15
2007-06,9
2007-07,8
2007-08,8
2007-09,13
2007-10,21
2007-11,21
2007-12,18
2008-01,15
2008-02,21
2008-03,18
2008-04,24
2008-05,18
2008-06,13
2008-07,11
2008-08,10
2008-09,26
2008-10,30
2008-11,26
2008-12,19
2009-01,18
2009-02,30
2009-03,28
2009-04,29
2009-05,21
2009-06,15
2009-07,14
2009-08,13
2009-09,18
2009-10,23
2009-11,26
2009-12,22
2010-01,19
2010-02,25
2010-03,26
2010-04,32
2010-05,23
2010-06,15
2010-07,15
2010-08,11
2010-09,17
2010-10,25
2010-11,32
2010-12,24
2011-01,22
2011-02,27
2011-03,29
2011-04,43
2011-05,23
2011-06,22
2011-07,35
2011-08,29
2011-09,23
2011-10,28
2011-11,31
2011-12,25
2012-01,22
2012-02,24
2012-03,25
2012-04,32
2012-05,29
2012-06,19
2012-07,18
2012-08,21
2012-09,30
2012-10,38
2012-11,43
2012-12,35
2013-01,29
2013-02,35
2013-03,38
2013-04,34
2013-05,25
2013-06,13
2013-07,12
2013-08,9
2013-09,19
2013-10,41
2013-11,30
2013-12,25
2014-01,17
2014-02,22
2014-03,25
2014-04,32
2014-05,23
2014-06,12
2014-07,11
2014-08,9
2014-09,15
2014-10,24
2014-11,28
2014-12,26
2015-01,15
2015-02,22
2015-03,25
2015-04,34
2015-05,25
2015-06,12
2015-07,12
2015-08,11
2015-09,20
2015-10,28
2015-11,32
2015-12,28
2016-01,19
2016-02,29
2016-03,31
2016-04,35
2016-05,28
2016-06,14
2016-07,13
2016-08,11
2016-09,17
2016-10,25
2016-11,30
2016-12,27
2017-01,22
2017-02,27
2017-03,32
2017-04,37
2017-05,29
2017-06,12
2017-07,12
2017-08,9
2017-09,16
2017-10,23
2017-11,31
2017-12,26
2018-01,22
2018-02,28
2018-03,28
2018-04,34
2018-05,26
2018-06,12
2018-07,13
2018-08,10
2018-09,17
2018-10,25
2018-11,28
2018-12,27
2019-01,23
2019-02,28
2019-03,28
2019-04,32
2019-05,27
2019-06,12
2019-07,12
2019-08,9
2019-09,16
2019-10,23
2019-11,28
2019-12,25
2020-01,16
2020-02,25
2020-03,26
2020-04,35
2020-05,27
2020-06,15
2020-07,14
2020-08,11
2020-09,20
2020-10,26
2020-11,29
2020-12,31
2021-01,16
2021-02,22
2021-03,26
2021-04,31
2021-05,29
2021-06,12
2021-07,10
2021-08,8
2021-09,17
2021-10,25
2021-11,30
2021-12,24
2022-01,19
2022-02,32
2022-03,44
2022-04,64
2022-05,42
2022-06,17
2022-07,16
2022-08,14
2022-09,25
2022-10,34
2022-11,45
2022-12,39
2023-01,26
2023-02,38
2023-03,48
2023-04,60
2023-05,43
2023-06,20
2023-07,17
2023-08,15
2023-09,33
2023-10,48
2023-11,55
2023-12,42
2024-01,31
2024-02,47
2024-03,60
2024-04,75
2024-05,45
2024-06,23
2024-07,21
2024-08,20
2024-09,34
2024-10,43
2024-11,62
2024-12,56
2025-01,36
2025-02,100
2025-03,72
2025-04,60
2025-05,63
