Category: All categories

Month,Repayment: (United States)
2004-01,32
2004-02,28
2004-03,32
2004-04,29
2004-05,34
2004-06,35
2004-07,31
2004-08,33
2004-09,31
2004-10,28
2004-11,29
2004-12,30
2005-01,33
2005-02,33
2005-03,30
2005-04,29
2005-05,32
2005-06,39
2005-07,34
2005-08,31
2005-09,27
2005-10,25
2005-11,28
2005-12,23
2006-01,31
2006-02,31
2006-03,28
2006-04,28
2006-05,29
2006-06,31
2006-07,31
2006-08,30
2006-09,24
2006-10,26
2006-11,30
2006-12,26
2007-01,30
2007-02,30
2007-03,30
2007-04,29
2007-05,29
2007-06,29
2007-07,30
2007-08,33
2007-09,27
2007-10,31
2007-11,29
2007-12,29
2008-01,34
2008-02,33
2008-03,37
2008-04,36
2008-05,31
2008-06,33
2008-07,36
2008-08,34
2008-09,34
2008-10,34
2008-11,32
2008-12,34
2009-01,39
2009-02,42
2009-03,40
2009-04,41
2009-05,37
2009-06,55
2009-07,60
2009-08,49
2009-09,44
2009-10,42
2009-11,45
2009-12,45
2010-01,57
2010-02,56
2010-03,58
2010-04,61
2010-05,46
2010-06,51
2010-07,44
2010-08,44
2010-09,39
2010-10,39
2010-11,38
2010-12,39
2011-01,47
2011-02,51
2011-03,43
2011-04,49
2011-05,41
2011-06,44
2011-07,44
2011-08,39
2011-09,37
2011-10,49
2011-11,38
2011-12,37
2012-01,48
2012-02,44
2012-03,41
2012-04,46
2012-05,38
2012-06,45
2012-07,39
2012-08,38
2012-09,40
2012-10,37
2012-11,35
2012-12,34
2013-01,46
2013-02,44
2013-03,41
2013-04,43
2013-05,38
2013-06,37
2013-07,38
2013-08,36
2013-09,38
2013-10,35
2013-11,34
2013-12,31
2014-01,48
2014-02,48
2014-03,42
2014-04,43
2014-05,36
2014-06,40
2014-07,40
2014-08,34
2014-09,37
2014-10,35
2014-11,30
2014-12,33
2015-01,44
2015-02,41
2015-03,40
2015-04,40
2015-05,34
2015-06,38
2015-07,40
2015-08,39
2015-09,36
2015-10,37
2015-11,36
2015-12,34
2016-01,43
2016-02,46
2016-03,44
2016-04,43
2016-05,37
2016-06,36
2016-07,33
2016-08,36
2016-09,32
2016-10,37
2016-11,35
2016-12,32
2017-01,45
2017-02,46
2017-03,47
2017-04,47
2017-05,39
2017-06,35
2017-07,39
2017-08,38
2017-09,41
2017-10,42
2017-11,38
2017-12,32
2018-01,43
2018-02,46
2018-03,44
2018-04,44
2018-05,39
2018-06,34
2018-07,37
2018-08,40
2018-09,35
2018-10,37
2018-11,34
2018-12,33
2019-01,44
2019-02,46
2019-03,46
2019-04,44
2019-05,39
2019-06,40
2019-07,38
2019-08,38
2019-09,37
2019-10,38
2019-11,34
2019-12,32
2020-01,43
2020-02,48
2020-03,40
2020-04,42
2020-05,38
2020-06,34
2020-07,38
2020-08,31
2020-09,33
2020-10,28
2020-11,28
2020-12,31
2021-01,35
2021-02,38
2021-03,40
2021-04,38
2021-05,34
2021-06,35
2021-07,33
2021-08,39
2021-09,34
2021-10,36
2021-11,35
2021-12,46
2022-01,48
2022-02,51
2022-03,56
2022-04,62
2022-05,40
2022-06,39
2022-07,47
2022-08,80
2022-09,42
2022-10,39
2022-11,40
2022-12,35
2023-01,41
2023-02,43
2023-03,45
2023-04,50
2023-05,47
2023-06,54
2023-07,76
2023-08,100
2023-09,89
2023-10,74
2023-11,51
2023-12,48
2024-01,56
2024-02,58
2024-03,55
2024-04,57
2024-05,44
2024-06,46
2024-07,46
2024-08,50
2024-09,45
2024-10,44
2024-11,44
2024-12,43
2025-01,53
2025-02,55
2025-03,74
2025-04,74
2025-05,65
