Category: All categories

Month,debt to gdp: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,14
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,12
2006-05,10
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,7
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,9
2007-12,5
2008-01,5
2008-02,0
2008-03,6
2008-04,8
2008-05,0
2008-06,0
2008-07,7
2008-08,5
2008-09,14
2008-10,24
2008-11,21
2008-12,16
2009-01,21
2009-02,36
2009-03,35
2009-04,20
2009-05,21
2009-06,22
2009-07,19
2009-08,20
2009-09,16
2009-10,19
2009-11,28
2009-12,34
2010-01,25
2010-02,65
2010-03,47
2010-04,45
2010-05,87
2010-06,47
2010-07,34
2010-08,26
2010-09,26
2010-10,24
2010-11,36
2010-12,30
2011-01,31
2011-02,26
2011-03,40
2011-04,41
2011-05,32
2011-06,38
2011-07,80
2011-08,100
2011-09,43
2011-10,45
2011-11,72
2011-12,44
2012-01,42
2012-02,48
2012-03,32
2012-04,40
2012-05,42
2012-06,45
2012-07,32
2012-08,31
2012-09,52
2012-10,43
2012-11,59
2012-12,37
2013-01,43
2013-02,37
2013-03,38
2013-04,47
2013-05,30
2013-06,20
2013-07,22
2013-08,19
2013-09,28
2013-10,64
2013-11,32
2013-12,26
2014-01,20
2014-02,25
2014-03,24
2014-04,30
2014-05,23
2014-06,17
2014-07,20
2014-08,14
2014-09,18
2014-10,22
2014-11,28
2014-12,27
2015-01,24
2015-02,31
2015-03,27
2015-04,29
2015-05,26
2015-06,37
2015-07,76
2015-08,32
2015-09,32
2015-10,36
2015-11,31
2015-12,23
2016-01,33
2016-02,36
2016-03,34
2016-04,36
2016-05,33
2016-06,27
2016-07,26
2016-08,23
2016-09,26
2016-10,36
2016-11,40
2016-12,31
2017-01,29
2017-02,31
2017-03,31
2017-04,34
2017-05,32
2017-06,20
2017-07,22
2017-08,17
2017-09,27
2017-10,28
2017-11,32
2017-12,35
2018-01,26
2018-02,36
2018-03,33
2018-04,40
2018-05,30
2018-06,28
2018-07,25
2018-08,29
2018-09,30
2018-10,40
2018-11,40
2018-12,34
2019-01,40
2019-02,37
2019-03,33
2019-04,34
2019-05,29
2019-06,23
2019-07,28
2019-08,31
2019-09,27
2019-10,29
2019-11,31
2019-12,26
2020-01,28
2020-02,36
2020-03,42
2020-04,58
2020-05,41
2020-06,27
2020-07,32
2020-08,27
2020-09,32
2020-10,31
2020-11,34
2020-12,32
2021-01,34
2021-02,33
2021-03,38
2021-04,38
2021-05,28
2021-06,23
2021-07,23
2021-08,20
2021-09,29
2021-10,36
2021-11,32
2021-12,30
2022-01,26
2022-02,49
2022-03,44
2022-04,56
2022-05,40
2022-06,32
2022-07,33
2022-08,25
2022-09,35
2022-10,45
2022-11,42
2022-12,34
2023-01,41
2023-02,40
2023-03,41
2023-04,53
2023-05,67
2023-06,30
2023-07,28
2023-08,38
2023-09,39
2023-10,48
2023-11,50
2023-12,45
2024-01,40
2024-02,44
2024-03,53
2024-04,65
2024-05,43
2024-06,35
2024-07,39
2024-08,38
2024-09,40
2024-10,52
2024-11,54
2024-12,50
2025-01,36
2025-02,65
2025-03,69
2025-04,74
2025-05,54
