Category: All categories

Month,debt: (United States)
2004-01,37
2004-02,36
2004-03,34
2004-04,35
2004-05,33
2004-06,33
2004-07,33
2004-08,33
2004-09,36
2004-10,39
2004-11,40
2004-12,32
2005-01,36
2005-02,37
2005-03,36
2005-04,37
2005-05,34
2005-06,35
2005-07,32
2005-08,32
2005-09,35
2005-10,34
2005-11,34
2005-12,31
2006-01,35
2006-02,36
2006-03,36
2006-04,37
2006-05,34
2006-06,32
2006-07,37
2006-08,33
2006-09,33
2006-10,35
2006-11,35
2006-12,31
2007-01,38
2007-02,35
2007-03,36
2007-04,37
2007-05,35
2007-06,35
2007-07,35
2007-08,36
2007-09,36
2007-10,41
2007-11,40
2007-12,37
2008-01,43
2008-02,42
2008-03,41
2008-04,41
2008-05,39
2008-06,37
2008-07,40
2008-08,38
2008-09,49
2008-10,55
2008-11,48
2008-12,46
2009-01,43
2009-02,51
2009-03,49
2009-04,46
2009-05,43
2009-06,45
2009-07,44
2009-08,40
2009-09,44
2009-10,45
2009-11,44
2009-12,39
2010-01,45
2010-02,50
2010-03,47
2010-04,46
2010-05,42
2010-06,40
2010-07,36
2010-08,33
2010-09,34
2010-10,36
2010-11,38
2010-12,31
2011-01,40
2011-02,41
2011-03,38
2011-04,45
2011-05,39
2011-06,39
2011-07,94
2011-08,71
2011-09,61
2011-10,43
2011-11,42
2011-12,37
2012-01,46
2012-02,42
2012-03,35
2012-04,38
2012-05,35
2012-06,31
2012-07,34
2012-08,37
2012-09,43
2012-10,43
2012-11,43
2012-12,32
2013-01,41
2013-02,38
2013-03,35
2013-04,33
2013-05,31
2013-06,26
2013-07,28
2013-08,28
2013-09,34
2013-10,62
2013-11,31
2013-12,27
2014-01,31
2014-02,36
2014-03,32
2014-04,33
2014-05,31
2014-06,29
2014-07,30
2014-08,27
2014-09,30
2014-10,31
2014-11,30
2014-12,30
2015-01,31
2015-02,36
2015-03,33
2015-04,33
2015-05,29
2015-06,32
2015-07,37
2015-08,31
2015-09,34
2015-10,37
2015-11,34
2015-12,30
2016-01,35
2016-02,52
2016-03,38
2016-04,37
2016-05,38
2016-06,35
2016-07,34
2016-08,32
2016-09,34
2016-10,37
2016-11,37
2016-12,32
2017-01,40
2017-02,44
2017-03,40
2017-04,38
2017-05,36
2017-06,31
2017-07,34
2017-08,35
2017-09,37
2017-10,37
2017-11,35
2017-12,34
2018-01,37
2018-02,40
2018-03,37
2018-04,40
2018-05,33
2018-06,32
2018-07,35
2018-08,36
2018-09,36
2018-10,39
2018-11,37
2018-12,34
2019-01,42
2019-02,43
2019-03,40
2019-04,39
2019-05,36
2019-06,35
2019-07,36
2019-08,38
2019-09,37
2019-10,38
2019-11,35
2019-12,33
2020-01,42
2020-02,46
2020-03,42
2020-04,42
2020-05,38
2020-06,31
2020-07,35
2020-08,31
2020-09,36
2020-10,35
2020-11,35
2020-12,33
2021-01,36
2021-02,38
2021-03,41
2021-04,35
2021-05,31
2021-06,29
2021-07,29
2021-08,29
2021-09,41
2021-10,40
2021-11,33
2021-12,32
2022-01,35
2022-02,39
2022-03,40
2022-04,46
2022-05,37
2022-06,36
2022-07,34
2022-08,51
2022-09,42
2022-10,50
2022-11,43
2022-12,37
2023-01,52
2023-02,49
2023-03,48
2023-04,50
2023-05,100
2023-06,62
2023-07,41
2023-08,41
2023-09,44
2023-10,47
2023-11,43
2023-12,40
2024-01,45
2024-02,50
2024-03,48
2024-04,50
2024-05,44
2024-06,41
2024-07,41
2024-08,42
2024-09,45
2024-10,46
2024-11,48
2024-12,46
2025-01,52
2025-02,61
2025-03,53
2025-04,55
2025-05,47
