Category: All categories

Month,deficit: (United States)
2004-01,71
2004-02,75
2004-03,65
2004-04,67
2004-05,54
2004-06,48
2004-07,46
2004-08,46
2004-09,68
2004-10,79
2004-11,81
2004-12,58
2005-01,55
2005-02,64
2005-03,55
2005-04,58
2005-05,49
2005-06,37
2005-07,33
2005-08,30
2005-09,41
2005-10,45
2005-11,48
2005-12,43
2006-01,41
2006-02,54
2006-03,48
2006-04,47
2006-05,41
2006-06,31
2006-07,30
2006-08,28
2006-09,35
2006-10,43
2006-11,41
2006-12,33
2007-01,34
2007-02,35
2007-03,32
2007-04,34
2007-05,32
2007-06,25
2007-07,24
2007-08,23
2007-09,32
2007-10,36
2007-11,36
2007-12,28
2008-01,30
2008-02,33
2008-03,33
2008-04,36
2008-05,30
2008-06,25
2008-07,26
2008-08,25
2008-09,41
2008-10,42
2008-11,39
2008-12,31
2009-01,30
2009-02,47
2009-03,41
2009-04,38
2009-05,32
2009-06,30
2009-07,30
2009-08,33
2009-09,33
2009-10,40
2009-11,55
2009-12,35
2010-01,36
2010-02,55
2010-03,50
2010-04,47
2010-05,40
2010-06,30
2010-07,29
2010-08,26
2010-09,35
2010-10,39
2010-11,53
2010-12,41
2011-01,40
2011-02,50
2011-03,43
2011-04,54
2011-05,36
2011-06,32
2011-07,54
2011-08,41
2011-09,38
2011-10,43
2011-11,41
2011-12,31
2012-01,32
2012-02,37
2012-03,32
2012-04,35
2012-05,34
2012-06,26
2012-07,25
2012-08,33
2012-09,43
2012-10,61
2012-11,55
2012-12,32
2013-01,34
2013-02,37
2013-03,33
2013-04,33
2013-05,31
2013-06,21
2013-07,19
2013-08,22
2013-09,28
2013-10,48
2013-11,31
2013-12,25
2014-01,26
2014-02,34
2014-03,28
2014-04,31
2014-05,27
2014-06,20
2014-07,21
2014-08,19
2014-09,25
2014-10,31
2014-11,31
2014-12,28
2015-01,29
2015-02,31
2015-03,30
2015-04,29
2015-05,27
2015-06,23
2015-07,22
2015-08,21
2015-09,29
2015-10,33
2015-11,30
2015-12,26
2016-01,26
2016-02,34
2016-03,37
2016-04,33
2016-05,32
2016-06,24
2016-07,23
2016-08,22
2016-09,26
2016-10,34
2016-11,37
2016-12,26
2017-01,36
2017-02,35
2017-03,31
2017-04,34
2017-05,29
2017-06,20
2017-07,18
2017-08,17
2017-09,23
2017-10,28
2017-11,31
2017-12,33
2018-01,26
2018-02,34
2018-03,34
2018-04,36
2018-05,28
2018-06,29
2018-07,26
2018-08,27
2018-09,32
2018-10,41
2018-11,33
2018-12,27
2019-01,29
2019-02,33
2019-03,35
2019-04,36
2019-05,30
2019-06,24
2019-07,27
2019-08,26
2019-09,27
2019-10,31
2019-11,30
2019-12,28
2020-01,31
2020-02,40
2020-03,31
2020-04,37
2020-05,38
2020-06,31
2020-07,32
2020-08,30
2020-09,39
2020-10,43
2020-11,34
2020-12,32
2021-01,45
2021-02,47
2021-03,48
2021-04,47
2021-05,42
2021-06,37
2021-07,33
2021-08,30
2021-09,33
2021-10,35
2021-11,33
2021-12,32
2022-01,42
2022-02,46
2022-03,50
2022-04,52
2022-05,48
2022-06,37
2022-07,35
2022-08,37
2022-09,37
2022-10,42
2022-11,38
2022-12,35
2023-01,44
2023-02,52
2023-03,52
2023-04,51
2023-05,53
2023-06,40
2023-07,36
2023-08,36
2023-09,40
2023-10,42
2023-11,40
2023-12,38
2024-01,47
2024-02,51
2024-03,53
2024-04,58
2024-05,49
2024-06,54
2024-07,46
2024-08,45
2024-09,53
2024-10,51
2024-11,51
2024-12,46
2025-01,66
2025-02,89
2025-03,81
2025-04,100
2025-05,78
